Codigo,Espacialidades,IDHM_2010,IDHM_Renda_2010,IDHM_Longevidade_2010,IDHM_Educacao_2010
2505600,Diamante,"0,593","0,562","0,748","0,496"
4107157,Diamante D'Oeste,"0,644","0,647","0,776","0,532"
4107108,Diamante do Norte,"0,723","0,699","0,824","0,657"
4107124,Diamante do Sul,"0,608","0,605","0,777","0,479"
3121605,Diamantina,"0,716","0,693","0,839","0,632"
5103502,Diamantino,"0,718","0,714","0,831","0,625"
1707009,Dianópolis,"0,701","0,673","0,822","0,624"
2910057,Dias D'Ávila,"0,676","0,651","0,811","0,584"
4306379,Dilermando de Aguiar,"0,648","0,681","0,864","0,463"
3121704,Diogo de Vasconcelos,"0,601","0,578","0,811","0,464"
3121803,Dionísio,"0,702","0,651","0,821","0,647"
4205001,Dionísio Cerqueira,"0,706","0,703","0,82","0,61"
5207105,Diorama,"0,729","0,663","0,841","0,696"
3513850,Dirce Reis,"0,741","0,686","0,842","0,704"
2203354,Dirceu Arcoverde,"0,561","0,563","0,718","0,436"
2802007,Divina Pastora,"0,61","0,571","0,753","0,527"
3121902,Divinésia,"0,657","0,645","0,785","0,559"
3122009,Divino,"0,605","0,639","0,823","0,421"
3122108,Divino das Laranjeiras,"0,661","0,624","0,811","0,571"
3201803,Divino de São Lourenço,"0,632","0,622","0,819","0,496"
3513900,Divinolândia,"0,734","0,72","0,85","0,645"
3122207,Divinolândia de Minas,"0,623","0,603","0,812","0,495"
3122306,Divinópolis,"0,764","0,753","0,844","0,702"
5208301,Divinópolis de Goiás,"0,653","0,624","0,813","0,55"
1707108,Divinópolis do Tocantins,"0,683","0,667","0,816","0,585"
3122355,Divisa Alegre,"0,608","0,603","0,723","0,515"
3122405,Divisa Nova,"0,67","0,66","0,801","0,57"
3122454,Divisópolis,"0,609","0,577","0,802","0,489"
3514007,Dobrada,"0,718","0,691","0,818","0,655"
3514106,Dois Córregos,"0,725","0,725","0,853","0,616"
4306403,Dois Irmãos,"0,743","0,763","0,848","0,633"
4306429,Dois Irmãos das Missões,"0,67","0,646","0,797","0,585"
5003488,Dois Irmãos do Buriti,"0,639","0,64","0,773","0,528"
1707207,Dois Irmãos do Tocantins,"0,583","0,551","0,813","0,442"
4306452,Dois Lajeados,"0,757","0,775","0,837","0,67"
2702504,Dois Riachos,"0,532","0,513","0,762","0,385"
4107207,Dois Vizinhos,"0,767","0,747","0,85","0,711"
3514205,Dolcinópolis,"0,742","0,699","0,825","0,709"
5103601,Dom Aquino,"0,69","0,687","0,806","0,593"
2910107,Dom Basílio,"0,591","0,547","0,783","0,482"
3122470,Dom Bosco,"0,673","0,627","0,815","0,597"
3122504,Dom Cavati,"0,688","0,66","0,784","0,63"
1502939,Dom Eliseu,"0,615","0,606","0,763","0,502"
2203404,Dom Expedito Lopes,"0,601","0,583","0,762","0,488"
4306502,Dom Feliciano,"0,587","0,633","0,818","0,39"
3201902,Domingos Martins,"0,669","0,68","0,833","0,528"
2203420,Domingos Mourão,"0,55","0,547","0,755","0,403"
2203453,Dom Inocêncio,"0,549","0,498","0,756","0,439"
3122603,Dom Joaquim,"0,622","0,61","0,819","0,482"
2910206,Dom Macedo Costa,"0,632","0,598","0,795","0,531"
4306601,Dom Pedrito,"0,708","0,715","0,848","0,585"
2103802,Dom Pedro,"0,622","0,582","0,759","0,545"
4306551,Dom Pedro de Alcântara,"0,691","0,697","0,82","0,577"
3122702,Dom Silvério,"0,709","0,661","0,847","0,636"
3122801,Dom Viçoso,"0,687","0,617","0,819","0,641"
4205100,Dona Emma,"0,742","0,762","0,862","0,622"
3122900,Dona Eusébia,"0,701","0,684","0,841","0,598"
4306700,Dona Francisca,"0,697","0,718","0,831","0,568"
2505709,Dona Inês,"0,545","0,524","0,69","0,447"
3123007,Dores de Campos,"0,686","0,671","0,823","0,585"
3123106,Dores de Guanhães,"0,636","0,612","0,821","0,512"
3123205,Dores do Indaiá,"0,719","0,71","0,84","0,623"
3202009,Dores do Rio Preto,"0,654","0,635","0,813","0,542"
3123304,Dores do Turvo,"0,629","0,613","0,829","0,49"
3123403,Doresópolis,"0,692","0,652","0,869","0,585"
2605152,Dormentes,"0,589","0,558","0,741","0,495"
4107256,Douradina,"0,724","0,721","0,818","0,644"
5003504,Douradina,"0,699","0,706","0,809","0,597"
3514304,Dourado,"0,738","0,718","0,811","0,689"
3123502,Douradoquara,"0,706","0,704","0,847","0,591"
5003702,Dourados,"0,747","0,753","0,843","0,657"
4107306,Doutor Camargo,"0,746","0,704","0,839","0,702"
4306734,Doutor Maurício Cardoso,"0,706","0,707","0,84","0,593"
4205159,Doutor Pedrinho,"0,716","0,714","0,843","0,609"
4306759,Doutor Ricardo,"0,724","0,749","0,855","0,593"
2403202,Doutor Severiano,"0,621","0,567","0,747","0,566"
4128633,Doutor Ulysses,"0,546","0,57","0,791","0,362"
5207253,Doverlândia,"0,668","0,684","0,84","0,518"
3514403,Dracena,"0,776","0,752","0,842","0,737"
3514502,Duartina,"0,748","0,716","0,837","0,698"
3301603,Duas Barras,"0,659","0,677","0,79","0,534"
2505808,Duas Estradas,"0,603","0,565","0,795","0,488"
1707306,Dueré,"0,679","0,654","0,846","0,566"
3514601,Dumont,"0,744","0,72","0,849","0,674"
2103901,Duque Bacelar,"0,533","0,485","0,693","0,451"
3301702,Duque de Caxias,"0,711","0,692","0,833","0,624"
3123528,Durandé,"0,645","0,626","0,842","0,508"
3514700,Echaporã,"0,745","0,719","0,834","0,69"
3202108,Ecoporanga,"0,662","0,631","0,819","0,562"
5207352,Edealina,"0,702","0,722","0,808","0,594"
5207402,Edéia,"0,739","0,755","0,826","0,648"
1301407,Eirunepé,"0,563","0,548","0,756","0,431"
3514809,Eldorado,"0,691","0,633","0,847","0,615"
5003751,Eldorado,"0,684","0,674","0,824","0,577"
1502954,Eldorado dos Carajás,"0,56","0,572","0,757","0,405"
4306767,Eldorado do Sul,"0,717","0,717","0,844","0,609"
2203503,Elesbão Veloso,"0,58","0,573","0,758","0,45"
3514908,Elias Fausto,"0,695","0,701","0,822","0,583"
2203602,Eliseu Martins,"0,595","0,616","0,742","0,462"
3514924,Elisiário,"0,747","0,711","0,825","0,712"
2910305,Elísio Medrado,"0,623","0,59","0,777","0,527"
3123601,Elói Mendes,"0,685","0,688","0,838","0,558"
2505907,Emas,"0,595","0,554","0,773","0,492"
3514957,Embaúba,"0,73","0,723","0,84","0,641"
3515004,Embu,"0,735","0,7","0,839","0,676"
3515103,Embu-Guaçu,"0,749","0,713","0,834","0,708"
3515129,Emilianópolis,"0,727","0,69","0,805","0,691"
4306809,Encantado,"0,767","0,764","0,858","0,687"
2403301,Encanto,"0,629","0,589","0,787","0,536"
2910404,Encruzilhada,"0,544","0,533","0,754","0,4"
4306908,Encruzilhada do Sul,"0,657","0,677","0,875","0,478"
4107405,Enéas Marques,"0,752","0,767","0,835","0,664"
4107504,Engenheiro Beltrão,"0,73","0,701","0,82","0,677"
3123700,Engenheiro Caldas,"0,644","0,632","0,815","0,518"
3515152,Engenheiro Coelho,"0,732","0,72","0,815","0,668"
3123809,Engenheiro Navarro,"0,655","0,599","0,791","0,594"
3301801,Engenheiro Paulo de Frontin,"0,722","0,674","0,805","0,694"
4306924,Engenho Velho,"0,717","0,735","0,821","0,611"
3123858,Entre Folhas,"0,634","0,617","0,792","0,521"
4306932,Entre-Ijuís,"0,68","0,692","0,829","0,548"
2910503,Entre Rios,"0,615","0,602","0,785","0,492"
4205175,Entre Rios,"0,657","0,638","0,808","0,55"
3123908,Entre Rios de Minas,"0,672","0,673","0,802","0,563"
4107538,Entre Rios do Oeste,"0,761","0,778","0,826","0,686"
4306957,Entre Rios do Sul,"0,703","0,709","0,857","0,572"
1301506,Envira,"0,509","0,521","0,727","0,349"
1200252,Epitaciolândia,"0,653","0,654","0,771","0,553"
2403400,Equador,"0,623","0,578","0,765","0,546"
4306973,Erebango,"0,712","0,689","0,837","0,626"
4307005,Erechim,"0,776","0,782","0,833","0,716"
2304277,Ererê,"0,61","0,551","0,754","0,547"
2900504,Érico Cardoso,"0,584","0,558","0,758","0,471"
4205191,Ermo,"0,726","0,708","0,808","0,67"
4307054,Ernestina,"0,716","0,703","0,854","0,612"
4307203,Erval Grande,"0,681","0,713","0,885","0,501"
3124005,Ervália,"0,625","0,64","0,828","0,46"
4307302,Erval Seco,"0,685","0,666","0,821","0,589"
4205209,Erval Velho,"0,723","0,736","0,868","0,592"
2605202,Escada,"0,632","0,594","0,781","0,543"
4307401,Esmeralda,"0,68","0,669","0,827","0,569"
3124104,Esmeraldas,"0,671","0,649","0,822","0,567"
3124203,Espera Feliz,"0,663","0,663","0,846","0,52"
2506004,Esperança,"0,623","0,598","0,767","0,526"
4307450,Esperança do Sul,"0,661","0,665","0,788","0,55"
4107520,Esperança Nova,"0,689","0,69","0,799","0,594"
1707405,Esperantina,"0,57","0,495","0,715","0,524"
2203701,Esperantina,"0,605","0,579","0,769","0,497"
2104008,Esperantinópolis,"0,586","0,561","0,713","0,503"
4107546,Espigão Alto do Iguaçu,"0,636","0,632","0,781","0,521"
1100098,Espigão D'Oeste,"0,672","0,691","0,819","0,536"
3124302,Espinosa,"0,627","0,582","0,804","0,526"
2403509,Espírito Santo,"0,558","0,549","0,748","0,423"
3124401,Espírito Santo do Dourado,"0,685","0,66","0,847","0,576"
3515186,Espírito Santo do Pinhal,"0,787","0,784","0,872","0,712"
3515194,Espírito Santo do Turvo,"0,696","0,675","0,819","0,609"
2910602,Esplanada,"0,589","0,589","0,74","0,469"
4307500,Espumoso,"0,765","0,747","0,884","0,677"
4307559,Estação,"0,753","0,752","0,843","0,674"
2802106,Estância,"0,647","0,627","0,782","0,552"
4307609,Estância Velha,"0,757","0,749","0,887","0,652"
4307708,Esteio,"0,754","0,769","0,843","0,662"
3124500,Estiva,"0,691","0,679","0,848","0,573"
3557303,Estiva Gerbi,"0,74","0,716","0,815","0,695"
2104057,Estreito,"0,659","0,666","0,8","0,536"
4307807,Estrela,"0,767","0,776","0,85","0,684"
3124609,Estrela Dalva,"0,71","0,719","0,867","0,574"
2702553,Estrela de Alagoas,"0,534","0,515","0,72","0,41"
3515202,Estrela D'Oeste,"0,76","0,712","0,873","0,705"
3124708,Estrela do Indaiá,"0,676","0,679","0,875","0,521"
3515301,Estrela do Norte,"0,74","0,693","0,818","0,714"
5207501,Estrela do Norte,"0,707","0,703","0,848","0,593"
3124807,Estrela do Sul,"0,696","0,694","0,84","0,579"
4307815,Estrela Velha,"0,679","0,707","0,792","0,56"
2910701,Euclides da Cunha,"0,567","0,565","0,749","0,43"
3515350,Euclides da Cunha Paulista,"0,704","0,663","0,802","0,655"
4307831,Eugênio de Castro,"0,712","0,697","0,885","0,584"
3124906,Eugenópolis,"0,675","0,66","0,846","0,551"
2910727,Eunápolis,"0,677","0,687","0,791","0,572"
2304285,Eusébio,"0,701","0,7","0,794","0,621"
3125002,Ewbank da Câmara,"0,676","0,625","0,823","0,601"
3125101,Extrema,"0,732","0,729","0,849","0,633"
2403608,Extremoz,"0,66","0,64","0,808","0,555"
2605301,Exu,"0,576","0,543","0,775","0,454"
2506103,Fagundes,"0,56","0,543","0,749","0,432"
4307864,Fagundes Varela,"0,763","0,773","0,852","0,674"
5207535,Faina,"0,65","0,644","0,799","0,534"
3125200,Fama,"0,717","0,7","0,863","0,61"
3125309,Faria Lemos,"0,687","0,678","0,8","0,598"
2304301,Farias Brito,"0,633","0,541","0,774","0,605"
1503002,Faro,"0,563","0,501","0,756","0,47"
4107553,Farol,"0,715","0,671","0,818","0,665"
4307906,Farroupilha,"0,777","0,783","0,861","0,696"
3515400,Fartura,"0,732","0,699","0,867","0,648"
2203750,Fartura do Piauí,"0,548","0,506","0,738","0,441"
1707553,Fátima,"0,697","0,653","0,813","0,638"
2910750,Fátima,"0,559","0,554","0,686","0,459"
5003801,Fátima do Sul,"0,714","0,719","0,815","0,621"
4107603,Faxinal,"0,687","0,697","0,796","0,584"
4205308,Faxinal dos Guedes,"0,758","0,746","0,863","0,676"
4308003,Faxinal do Soturno,"0,72","0,732","0,854","0,597"
4308052,Faxinalzinho,"0,666","0,646","0,801","0,571"
5207600,Fazenda Nova,"0,685","0,671","0,831","0,576"
4107652,Fazenda Rio Grande,"0,72","0,713","0,847","0,617"
4308078,Fazenda Vilanova,"0,698","0,726","0,841","0,557"
1200302,Feijó,"0,539","0,559","0,723","0,388"
2910776,Feira da Mata,"0,588","0,527","0,763","0,505"
2910800,Feira de Santana,"0,712","0,71","0,82","0,619"
2702603,Feira Grande,"0,533","0,512","0,736","0,402"
2605400,Feira Nova,"0,6","0,581","0,807","0,46"
2802205,Feira Nova,"0,584","0,546","0,773","0,473"
2104073,Feira Nova do Maranhão,"0,532","0,511","0,729","0,405"
3125408,Felício dos Santos,"0,606","0,568","0,794","0,494"
2403707,Felipe Guerra,"0,636","0,582","0,768","0,575"
3125606,Felisburgo,"0,583","0,577","0,744","0,462"
3125705,Felixlândia,"0,648","0,651","0,815","0,514"
4308102,Feliz,"0,75","0,758","0,847","0,658"
2702702,Feliz Deserto,"0,565","0,55","0,708","0,462"
5103700,Feliz Natal,"0,692","0,737","0,819","0,548"
4107702,Fênix,"0,716","0,669","0,825","0,665"
4107736,Fernandes Pinheiro,"0,645","0,647","0,791","0,525"
3125804,Fernandes Tourinho,"0,646","0,608","0,807","0,55"
2605459,Fernando de Noronha,"0,788","0,781","0,839","0,748"
2104081,Fernando Falcão,"0,443","0,417","0,728","0,286"
2403756,Fernando Pedroza,"0,597","0,565","0,727","0,519"
3515509,Fernandópolis,"0,797","0,767","0,872","0,758"
3515608,Fernando Prestes,"0,758","0,746","0,859","0,68"
3515657,Fernão,"0,703","0,668","0,843","0,617"
3515707,Ferraz de Vasconcelos,"0,738","0,691","0,828","0,703"
1600238,Ferreira Gomes,"0,656","0,635","0,82","0,542"
2605509,Ferreiros,"0,622","0,589","0,787","0,519"
3125903,Ferros,"0,603","0,625","0,821","0,428"
3125952,Fervedouro,"0,58","0,583","0,796","0,42"
4107751,Figueira,"0,677","0,68","0,801","0,569"
5003900,Figueirão,"0,66","0,677","0,83","0,511"
1707652,Figueirópolis,"0,689","0,664","0,822","0,6"
5103809,Figueirópolis D'Oeste,"0,679","0,665","0,786","0,599"
1707702,Filadélfia,"0,621","0,578","0,792","0,522"
2910859,Filadélfia,"0,565","0,553","0,726","0,45"
2910909,Firmino Alves,"0,578","0,596","0,699","0,464"
5207808,Firminópolis,"0,732","0,681","0,838","0,688"
2702801,Flexeiras,"0,527","0,528","0,693","0,4"
4107801,Floraí,"0,745","0,739","0,853","0,656"
2403806,Florânia,"0,642","0,611","0,775","0,56"
3515806,Flora Rica,"0,727","0,668","0,796","0,723"
4107850,Flor da Serra do Sul,"0,682","0,68","0,833","0,56"
4205357,Flor do Sertão,"0,708","0,736","0,792","0,608"
3515905,Floreal,"0,747","0,71","0,808","0,726"
2605608,Flores,"0,556","0,544","0,745","0,423"
4308201,Flores da Cunha,"0,754","0,786","0,849","0,642"
5207907,Flores de Goiás,"0,597","0,583","0,799","0,457"
2203800,Flores do Piauí,"0,547","0,525","0,704","0,443"
2605707,Floresta,"0,626","0,588","0,775","0,538"
4107900,Floresta,"0,736","0,707","0,816","0,691"
2911006,Floresta Azul,"0,557","0,548","0,731","0,431"
1503044,Floresta do Araguaia,"0,583","0,573","0,792","0,437"
2203859,Floresta do Piauí,"0,538","0,53","0,753","0,391"
3126000,Florestal,"0,724","0,728","0,845","0,617"
4108007,Florestópolis,"0,701","0,682","0,807","0,625"
2203909,Floriano,"0,7","0,676","0,802","0,633"
4308250,Floriano Peixoto,"0,663","0,701","0,854","0,486"
4205407,Florianópolis,"0,847","0,87","0,873","0,8"
4108106,Flórida,"0,732","0,707","0,816","0,679"
3516002,Flórida Paulista,"0,715","0,702","0,807","0,646"
3516101,Florínia,"0,713","0,678","0,82","0,652"
1301605,Fonte Boa,"0,53","0,518","0,719","0,4"
4308300,Fontoura Xavier,"0,661","0,668","0,812","0,532"
3126109,Formiga,"0,755","0,729","0,874","0,676"
4308409,Formigueiro,"0,682","0,69","0,838","0,549"
5208004,Formosa,"0,744","0,726","0,852","0,666"
2104099,Formosa da Serra Negra,"0,556","0,485","0,774","0,459"
4108205,Formosa do Oeste,"0,723","0,692","0,836","0,652"
2911105,Formosa do Rio Preto,"0,618","0,576","0,763","0,536"
4205431,Formosa do Sul,"0,715","0,728","0,845","0,593"
3126208,Formoso,"0,64","0,616","0,834","0,51"
5208103,Formoso,"0,715","0,686","0,834","0,639"
1708205,Formoso do Araguaia,"0,67","0,64","0,801","0,587"
4308433,Forquetinha,"0,683","0,743","0,886","0,484"
2304350,Forquilha,"0,644","0,583","0,76","0,602"
4205456,Forquilhinha,"0,753","0,754","0,861","0,657"
2304400,Fortaleza,"0,754","0,749","0,824","0,695"
3126307,Fortaleza de Minas,"0,67","0,683","0,805","0,546"
2104107,Fortaleza dos Nogueiras,"0,616","0,566","0,773","0,534"
4308458,Fortaleza dos Valos,"0,756","0,779","0,837","0,663"
1708254,Fortaleza do Tabocão,"0,659","0,616","0,808","0,575"
2304459,Fortim,"0,624","0,562","0,734","0,588"
2104206,Fortuna,"0,58","0,558","0,706","0,494"
3126406,Fortuna de Minas,"0,696","0,651","0,845","0,613"
4108304,Foz do Iguaçu,"0,751","0,748","0,858","0,661"
4108452,Foz do Jordão,"0,645","0,654","0,828","0,496"
4205506,Fraiburgo,"0,731","0,712","0,86","0,637"
3516200,Franca,"0,78","0,749","0,842","0,753"
2204006,Francinópolis,"0,564","0,523","0,722","0,475"
4108320,Francisco Alves,"0,669","0,669","0,786","0,57"
2204105,Francisco Ayres,"0,577","0,565","0,756","0,45"
3126505,Francisco Badaró,"0,622","0,575","0,793","0,527"
4108403,Francisco Beltrão,"0,774","0,758","0,844","0,726"
2403905,Francisco Dantas,"0,606","0,582","0,732","0,523"
3126604,Francisco Dumont,"0,625","0,596","0,797","0,513"
2204154,Francisco Macedo,"0,553","0,567","0,701","0,425"
3516309,Francisco Morato,"0,703","0,659","0,815","0,647"
3126752,Franciscópolis,"0,603","0,581","0,802","0,471"
3126703,Francisco Sá,"0,654","0,605","0,808","0,572"
2204204,Francisco Santos,"0,608","0,598","0,754","0,498"
3516408,Franco da Rocha,"0,731","0,702","0,852","0,654"
2304509,Frecheirinha,"0,604","0,551","0,746","0,536"
4308508,Frederico Westphalen,"0,76","0,754","0,846","0,688"
3126802,Frei Gaspar,"0,59","0,569","0,799","0,452"
3126901,Frei Inocêncio,"0,648","0,624","0,779","0,559"
3126950,Frei Lagonegro,"0,543","0,519","0,749","0,412"
2506202,Frei Martinho,"0,641","0,631","0,77","0,542"
2605806,Frei Miguelinho,"0,576","0,575","0,758","0,438"
2802304,Frei Paulo,"0,589","0,623","0,768","0,428"
4205555,Frei Rogério,"0,682","0,664","0,812","0,588"
3127008,Fronteira,"0,684","0,693","0,871","0,53"
3127057,Fronteira dos Vales,"0,592","0,556","0,813","0,46"
2204303,Fronteiras,"0,619","0,621","0,748","0,511"
3127073,Fruta de Leite,"0,544","0,548","0,792","0,37"
3127107,Frutal,"0,73","0,73","0,865","0,615"
2404002,Frutuoso Gomes,"0,597","0,565","0,737","0,512"
3202207,Fundão,"0,718","0,708","0,839","0,623"
3127206,Funilândia,"0,655","0,612","0,844","0,545"
3516507,Gabriel Monteiro,"0,763","0,721","0,809","0,762"
2506251,Gado Bravo,"0,513","0,491","0,737","0,373"
3516606,Gália,"0,709","0,684","0,823","0,634"
3127305,Galiléia,"0,654","0,645","0,795","0,546"
2404101,Galinhos,"0,564","0,578","0,723","0,429"
4205605,Galvão,"0,708","0,704","0,815","0,618"
2605905,Gameleira,"0,602","0,541","0,759","0,532"
5208152,Gameleira de Goiás,"0,659","0,692","0,828","0,499"
3127339,Gameleiras,"0,65","0,559","0,796","0,618"
2911204,Gandu,"0,632","0,645","0,771","0,508"
2606002,Garanhuns,"0,664","0,662","0,795","0,556"
2802403,Gararu,"0,564","0,544","0,783","0,422"
3516705,Garça,"0,769","0,737","0,849","0,728"
4308607,Garibaldi,"0,786","0,825","0,856","0,688"
4205704,Garopaba,"0,753","0,737","0,868","0,668"
1503077,Garrafão do Norte,"0,526","0,54","0,763","0,353"
4308656,Garruchos,"0,671","0,657","0,833","0,553"
4205803,Garuva,"0,725","0,717","0,83","0,64"
4205902,Gaspar,"0,765","0,77","0,889","0,655"
3516804,Gastão Vidigal,"0,723","0,727","0,817","0,635"
5103858,Gaúcha do Norte,"0,615","0,658","0,847","0,418"
4308706,Gaurama,"0,738","0,733","0,852","0,643"
2911253,Gavião,"0,599","0,566","0,747","0,508"
3516853,Gavião Peixoto,"0,719","0,687","0,802","0,676"
2204352,Geminiano,"0,561","0,524","0,755","0,446"
4308805,General Câmara,"0,686","0,704","0,832","0,552"
4108502,General Carneiro,"0,652","0,638","0,816","0,532"
5103908,General Carneiro,"0,67","0,645","0,82","0,569"
2802502,General Maynard,"0,645","0,609","0,776","0,567"
3516903,General Salgado,"0,747","0,734","0,808","0,702"
2304608,General Sampaio,"0,568","0,548","0,744","0,449"
4308854,Gentil,"0,733","0,71","0,863","0,643"
2911303,Gentio do Ouro,"0,559","0,523","0,743","0,45"
3517000,Getulina,"0,717","0,696","0,813","0,652"
4308904,Getúlio Vargas,"0,746","0,747","0,843","0,658"
2204402,Gilbués,"0,548","0,574","0,753","0,38"
2702900,Girau do Ponciano,"0,536","0,498","0,762","0,405"
4309001,Giruá,"0,721","0,707","0,842","0,629"
3127354,Glaucilândia,"0,679","0,579","0,812","0,667"
3517109,Glicério,"0,735","0,735","0,858","0,63"
2911402,Glória,"0,593","0,563","0,775","0,479"
5004007,Glória de Dourados,"0,721","0,705","0,822","0,648"
5103957,Glória D'Oeste,"0,71","0,684","0,823","0,636"
2606101,Glória do Goitá,"0,604","0,57","0,765","0,506"
4309050,Glorinha,"0,714","0,716","0,859","0,593"
2104305,Godofredo Viana,"0,604","0,537","0,75","0,546"
4108551,Godoy Moreira,"0,675","0,642","0,828","0,578"
3127370,Goiabeira,"0,647","0,628","0,799","0,539"
2606200,Goiana,"0,651","0,614","0,779","0,576"
3127388,Goianá,"0,716","0,682","0,835","0,644"
5208400,Goianápolis,"0,703","0,678","0,825","0,62"
5208509,Goiandira,"0,76","0,711","0,849","0,727"
5208608,Goianésia,"0,727","0,719","0,84","0,636"
1503093,Goianésia do Pará,"0,56","0,585","0,743","0,404"
5208707,Goiânia,"0,799","0,824","0,838","0,739"
2404200,Goianinha,"0,638","0,619","0,783","0,537"
5208806,Goianira,"0,694","0,674","0,831","0,596"
1708304,Goianorte,"0,621","0,598","0,805","0,497"
5208905,Goiás,"0,709","0,713","0,805","0,621"
1709005,Goiatins,"0,576","0,541","0,765","0,462"
5209101,Goiatuba,"0,725","0,737","0,825","0,627"
4108601,Goioerê,"0,731","0,72","0,85","0,639"
4108650,Goioxim,"0,641","0,593","0,813","0,547"
3127404,Gonçalves,"0,683","0,671","0,833","0,57"
2104404,Gonçalves Dias,"0,568","0,542","0,758","0,445"
2911501,Gongogi,"0,576","0,543","0,773","0,456"
3127503,Gonzaga,"0,606","0,558","0,774","0,516"
3127602,Gouveia,"0,681","0,622","0,833","0,609"
5209150,Gouvelândia,"0,674","0,68","0,806","0,559"
2104503,Governador Archer,"0,565","0,545","0,687","0,481"
4206009,Governador Celso Ramos,"0,747","0,737","0,87","0,651"
2404309,Governador Dix-Sept Rosado,"0,592","0,564","0,759","0,485"
2104552,Governador Edison Lobão,"0,629","0,589","0,764","0,552"
2104602,Governador Eugênio Barros,"0,572","0,55","0,736","0,462"
1101005,Governador Jorge Teixeira,"0,596","0,627","0,762","0,444"
3202256,Governador Lindenberg,"0,694","0,669","0,823","0,608"
2104628,Governador Luiz Rocha,"0,544","0,508","0,692","0,459"
2911600,Governador Mangabeira,"0,643","0,594","0,754","0,594"
2104651,Governador Newton Bello,"0,521","0,509","0,718","0,387"
2104677,Governador Nunes Freire,"0,569","0,54","0,722","0,472"
3127701,Governador Valadares,"0,727","0,714","0,834","0,644"
2304657,Graça,"0,57","0,514","0,755","0,477"
2104701,Graça Aranha,"0,57","0,538","0,748","0,459"
2802601,Gracho Cardoso,"0,577","0,562","0,729","0,468"
2104800,Grajaú,"0,609","0,603","0,754","0,497"
4309100,Gramado,"0,764","0,783","0,861","0,662"
4309126,Gramado dos Loureiros,"0,685","0,662","0,832","0,584"
4309159,Gramado Xavier,"0,634","0,681","0,792","0,473"
4108700,Grandes Rios,"0,658","0,649","0,799","0,55"
2606309,Granito,"0,595","0,543","0,773","0,502"
2304707,Granja,"0,559","0,495","0,778","0,453"
2304806,Granjeiro,"0,585","0,533","0,715","0,526"
3127800,Grão Mogol,"0,604","0,579","0,791","0,482"
4206108,Grão Pará,"0,736","0,749","0,846","0,63"
2606408,Gravatá,"0,634","0,63","0,794","0,51"
4309209,Gravataí,"0,736","0,727","0,862","0,636"
4206207,Gravatal,"0,757","0,726","0,877","0,681"
2304905,Groaíras,"0,633","0,585","0,724","0,598"
2404408,Grossos,"0,664","0,633","0,79","0,585"
3127909,Grupiara,"0,731","0,679","0,844","0,682"
4309258,Guabiju,"0,758","0,831","0,857","0,612"
4206306,Guabiruba,"0,754","0,75","0,876","0,653"
3202306,Guaçuí,"0,703","0,691","0,846","0,595"
2204501,Guadalupe,"0,65","0,639","0,794","0,542"
4309308,Guaíba,"0,73","0,732","0,833","0,639"
3517208,Guaiçara,"0,739","0,697","0,853","0,679"
3517307,Guaimbê,"0,728","0,675","0,83","0,689"
3517406,Guaíra,"0,753","0,759","0,824","0,683"
4108809,Guaíra,"0,724","0,739","0,836","0,615"
4108908,Guairaçá,"0,693","0,698","0,829","0,574"
2304954,Guaiúba,"0,617","0,546","0,768","0,56"
1301654,Guajará,"0,532","0,51","0,762","0,387"
1100106,Guajará-Mirim,"0,657","0,663","0,823","0,519"
2911659,Guajeru,"0,569","0,548","0,77","0,437"
2404507,Guamaré,"0,626","0,632","0,769","0,505"
4108957,Guamiranga,"0,669","0,657","0,804","0,568"
2911709,Guanambi,"0,673","0,663","0,789","0,584"
3128006,Guanhães,"0,686","0,683","0,82","0,576"
3128105,Guapé,"0,679","0,661","0,831","0,57"
3517505,Guapiaçu,"0,725","0,728","0,866","0,605"
3517604,Guapiara,"0,675","0,634","0,806","0,602"
3301850,Guapimirim,"0,698","0,692","0,812","0,604"
4109005,Guapirama,"0,702","0,666","0,805","0,645"
5209200,Guapó,"0,697","0,708","0,826","0,58"
4309407,Guaporé,"0,765","0,781","0,837","0,685"
4109104,Guaporema,"0,719","0,686","0,808","0,671"
3517703,Guará,"0,718","0,71","0,826","0,63"
2506301,Guarabira,"0,673","0,641","0,812","0,586"
3517802,Guaraçaí,"0,719","0,699","0,803","0,663"
3517901,Guaraci,"0,737","0,698","0,84","0,682"
4109203,Guaraci,"0,698","0,693","0,821","0,598"
3128204,Guaraciaba,"0,623","0,618","0,794","0,493"
4206405,Guaraciaba,"0,751","0,754","0,871","0,646"
2305001,Guaraciaba do Norte,"0,609","0,552","0,776","0,528"
3128253,Guaraciama,"0,677","0,586","0,807","0,655"
1709302,Guaraí,"0,741","0,724","0,839","0,67"
5209291,Guaraíta,"0,687","0,637","0,816","0,625"
2305100,Guaramiranga,"0,637","0,576","0,736","0,61"
4206504,Guaramirim,"0,751","0,748","0,885","0,641"
3128303,Guaranésia,"0,701","0,693","0,845","0,589"
3128402,Guarani,"0,677","0,685","0,849","0,533"
4109302,Guaraniaçu,"0,677","0,698","0,841","0,528"
4309506,Guarani das Missões,"0,737","0,698","0,863","0,665"
5209408,Guarani de Goiás,"0,637","0,569","0,814","0,557"
3518008,Guarani D'Oeste,"0,732","0,682","0,806","0,714"
